Census_date,Census_year,Site,Transect_plot,Quad,Band_color,Band_num,Xcoord,Ycoord,Phenology,Stem_diam_mm,Height_cm,Num_total_branches,Longest_leaf_cm,Num_flowers,Num_fruits,Longest_fruit_cm,Num_repro_branches,Herbivory,Notes,Band,Pick_color,Sword_color,Tag,2018tag,2019tag,Buds,Canopy_width_cm,Category_herbivory,Year_marked,Leaf_thickness_mm,Num_leaves,Collected_by,Date_entered,Entered_by
8/13/2026,2026,WL2,201A,0,red,67,45,2,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,201A,0,pink,669,29,5,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,201A,1,red,626,1,6,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,201A,1,pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Band not found,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,201B,1,red,664,4,35,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,201C,2,red,614,30,3,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,201C,2,red,504,45,13,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,201C,2,red,75,25,41,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,201C,2,red,642,10,4,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,201C,4,purple,108,43,30,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,201D,2,pinkn,779,31,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plant and band not found,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202A,0,red,80,18,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plant and band not found,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202A,3,red,278,35,4,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202A,3,pink,40,29,50,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202A,4,red,627,45,35,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202A,5,red,650,36,49,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202A,5,red,390,40,44,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202A,5,red,567,42,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plant and band not found,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202A,5,red,585,43,46,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202D,0,red,551,49,1,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
