"Date_entered","Entered_by","Census_year","Census_date","Collected_by","Site","Transect_plot","Quad","Tag","2018tag","2019tag","Pick_color","Sword_color","Band","Band_color","Band_num","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Canopy_width_cm","Phenology","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Num_total_branches","Longest_leaf_cm","Herbivory","Category_herbivory","Buds","Year_marked","Notes","Stem_diam_mm_UFA","plant_id","original_census_year"
NA,NA,2019,2019-05-31,"Megan & Laura","TM2","lower","3.0",NA,NA,NA,"blk","grn",NA,"red",107,16,21,"3.88",52.8,NA,"P",13,16,76,NA,NA,NA,"Y",NA,NA,NA,NA,3.88,"TM2_lower_3.0_red_107",2019
NA,NA,2019,2019-05-31,"Megan & Laura","TM2","lower","3.0",NA,NA,NA,"red","grn",NA,"red",49,36,16,"2.49",41.2,NA,"P",0,13,63,NA,NA,NA,"N",NA,NA,NA,NA,2.49,"TM2_lower_3.0_red_49",2019
NA,NA,2019,2019-05-31,"Megan & Laura","TM2","lower","3.0",NA,NA,NA,"red","grn",NA,"red",104,36,18,"4.01",50,NA,"P",0,9,65,NA,NA,NA,"N",NA,NA,NA,NA,4.01,"TM2_lower_3.0_red_104",2019
NA,NA,2019,2019-05-31,"Megan & Laura","TM2","lower","3.0",NA,NA,NA,"blk","grn",NA,"red",109,38,16,"2.03",39.5,NA,"P",2,4,29,NA,NA,NA,"Y",NA,NA,NA,"aphids",2.03,"TM2_lower_3.0_red_109",2019
NA,NA,2019,2019-05-31,"Megan & Laura","TM2","lower","3.0",NA,NA,NA,"orange","ylw",NA,"red",51,12,8,"4.04",29.9,NA,"P",8,1,16,NA,NA,NA,"Y",NA,NA,NA,"aphids present",4.04,"TM2_lower_3.0_red_51",2019
NA,NA,2019,2019-05-31,"Megan & Laura","TM2","lower","3.5",NA,NA,NA,"blu","grn",NA,"red",44,23,13,"2.9",17.4,NA,"P",0,0,NA,NA,NA,NA,"N",NA,NA,NA,"apical & leaf",2.9,"TM2_lower_3.5_red_44",2019
NA,NA,2019,2019-05-31,"Megan & Laura","TM2","lower","3.5",NA,NA,NA,"blu","grn",NA,"red",55,26,13,"2.68",41.7,NA,"P",0,3,71,NA,NA,NA,"N",NA,NA,NA,NA,2.68,"TM2_lower_3.5_red_55",2019
NA,NA,2019,2019-05-31,"Megan & Laura","TM2","lower","3.5",NA,NA,NA,"blu",NA,NA,"red",41,27,12,"2.48",40,NA,"P",0,4,68,NA,NA,NA,"N",NA,NA,NA,"no sword found",2.48,"TM2_lower_3.5_red_41",2019
NA,NA,2019,2019-05-31,"Megan & Laura","TM2","lower","3.5",NA,NA,NA,"blu","grn",NA,"red",101,29,11,"2.76",39.1,NA,"P",0,6,68,NA,NA,NA,"N",NA,NA,NA,NA,2.76,"TM2_lower_3.5_red_101",2019
NA,NA,2019,2019-05-31,"Megan & Laura","TM2","lower","3.5",NA,NA,NA,"blk","grn",NA,"red",27,24,6,"3.39",34.4,NA,"P",0,13,62,NA,NA,NA,"Y",NA,NA,NA,"foliar damage",3.39,"TM2_lower_3.5_red_27",2019
NA,NA,2019,2019-05-31,"Megan & Laura","TM2","lower","11.0",NA,NA,NA,"blu","grn",NA,"red",108,15,16,"1.6",23.2,NA,"P",0,2,35,NA,NA,NA,"N",NA,NA,NA,NA,1.6,"TM2_lower_11.0_red_108",2019
NA,NA,2019,2019-05-31,"Jenny & Elizabeth","TM2","lower","13.5",NA,NA,NA,"blk","grn",NA,"red",64,39,5,"1.66",22.4,NA,"P",0,2,4.1,NA,NA,NA,"N",NA,NA,NA,NA,1.66,"TM2_lower_13.5_red_64",2019
NA,NA,2019,2019-05-31,"Jenny & Elizabeth","TM2","lower","14.5",NA,NA,NA,"blu","grn",NA,"red",84,40,12,"1.66",34.2,NA,"P",0,2,4.4,NA,NA,NA,"N",NA,NA,NA,NA,1.66,"TM2_lower_14.5_red_84",2019
NA,NA,2019,2019-05-31,"Jenny & Elizabeth","TM2","lower","14.5",NA,NA,NA,"blu","grn",NA,"red",83,17,14,"1.42",20.3,NA,"P",0,1,5.5,NA,NA,NA,"Y",NA,NA,NA,"leaf damage (herbivory)",1.42,"TM2_lower_14.5_red_83",2019
