"Census_date","Site","Transect_plot","Quad","Phenology","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Num_total_branches","Longest_leaf_cm","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Notes","Census_year","Year_marked","Collected_by","Entered_by","Date_entered","Band","Band_num","Band_color","Pick_color","Sword_color","Tag","2018tag","2019tag","Buds","Herbivory","Category_herbivory","Leaf_thickness_mm","Num_leaves","Canopy_width_cm","Stem_diam_mm_UFA"
2024-06-20,"BH","1","1.5",NA,20,0,NA,NA,NA,NA,NA,NA,NA,NA,"plant and band not found",2024,NA,NA,"GAA",2024-06-24,NA,670,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","1","2","X",29,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,578,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","1","3.5","X",33,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,30,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","1","5",NA,20,28,NA,NA,NA,NA,NA,NA,NA,NA,"plant and band not found",2024,NA,NA,"GAA",2024-06-24,NA,273,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","1","5",NA,19,28,NA,NA,NA,NA,NA,NA,NA,NA,"plant and band not found",2024,NA,NA,"GAA",2024-06-24,NA,68,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","1","5","P",39,48,"6.54","73.6",1,NA,"0","31",9,1,NA,2024,NA,NA,"GAA",2024-06-24,NA,35,"pink",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,6.54
2024-06-20,"BH","1","5","V",35,50,NA,NA,1,NA,NA,NA,NA,NA,"vegetative but totally senesced",2024,NA,NA,"GAA",2024-06-24,NA,60,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","1","5.5","X",0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,101,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","1","6","X",5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,55,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","1","6","X",2,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,222,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","1","6.5","X",23,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,254,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
