"Census_date","Site","Transect_plot","Quad","Phenology","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Num_total_branches","Longest_leaf_cm","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Notes","Census_year","Year_marked","Collected_by","Entered_by","Date_entered","Band","Band_num","Band_color","Pick_color","Sword_color","Tag","2018tag","2019tag","Buds","Herbivory","Category_herbivory","Leaf_thickness_mm","Num_leaves","Canopy_width_cm","Stem_diam_mm_UFA"
2018-06-11,"BH","1.0","10.5","V",37,42,"2.68","4.6",1,"3.2",NA,NA,NA,NA,"H=herbivory",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68
2018-06-11,"BH","1.0","10.5","V",37,42,"1.27","1.9",1,"1.2",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27
2018-06-11,"BH","1.0","10.5","V",37,42,"<1","1.5",1,"1.4",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","10","V",37,42,"1.56","7.8",1,"4.3",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56
2018-06-11,"BH","1.0","9.5","V",37,42,"<1","0.6",1,"1.2",NA,NA,NA,NA,"entering note: entered 0.6 for height but could be 1.6",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9.5","V",37,42,"<1","1.2",1,"0.9",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9.5","V",37,42,"<1","2.1",1,"1.6",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9.5","V",37,42,"<1","5.3",1,"1.1",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9.5","V",37,42,"1.33","3.0",1,"1.5",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33
2018-06-11,"BH","1.0","9.5","V",21,16,"2.22","10.9",1,"3.6",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22
2018-06-11,"BH","1.0","9.5","V",21,16,"1.0","3.3",1,"1.7",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-06-11,"BH","1.0","9.5","V",21,16,"1.43","4.7",1,"2.1",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43
2018-06-11,"BH","1.0","9.5","V",21,16,"1.25","6.1",1,"1.9",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25
2018-06-11,"BH","1.0","9.5","V",21,16,"1.56","6.9",1,"2.5",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56
2018-06-11,"BH","1.0","9.5","V",21,16,"1.0","2.4",1,"1.8",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-06-11,"BH","1.0","9.5","V",21,16,"<1","2.3",1,"1.2",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9.5","V",21,16,"<1","2.3",1,"0.8",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9.5","V",21,16,"<1","2.8",1,"1.0",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9.5","V",21,16,"<1","1.1",1,"1.4",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9.5","V",21,16,"1.0","2.2",1,"1.7",NA,NA,NA,NA,"H",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-06-11,"BH","1.0","9.5","V",21,16,"1.25","4.3",1,"2.1",NA,NA,NA,NA,"H",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25
2018-06-11,"BH","1.0","9.5","V",21,16,"<1","3.1",1,"1.5",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9.5","V",21,16,"1.16","4.7",1,"1.7",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16
2018-06-11,"BH","1.0","9.5","V",21,16,"1.11","2.8",1,"1.9",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11
2018-06-11,"BH","1.0","9","P",47,24,"1.76","108.0",4,NA,"6B","38.0",11.7,2,"1 branch newly B, 1 senesced, 1V",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76
2018-06-11,"BH","1.0","9","V",47,24,"<1","2.9",1,"0.4",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9","V",47,24,"<1","2.8",1,"1.1",NA,NA,NA,NA,"H",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9","V",47,24,"<1","4.0",1,"0.9",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9","V",47,24,"<1","5.3",1,"1.3",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9","V",47,24,"<1","2.9",1,"1.2",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9","V",47,24,"1.0","4.4",1,"1.9",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-06-11,"BH","1.0","9","V",47,24,"1.32","7.2",1,"2.7",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32
2018-06-11,"BH","1.0","9","V",47,24,"<1","4.4",1,"1.7",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9","V",47,24,"1.0","7.4",1,"1.3",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-06-11,"BH","1.0","9","V",47,24,"<1","4.8",1,"1.1",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9","V",47,24,"<1","6.4",1,"1.1",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9","V",47,24,"<1","7.4",1,"1.6",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9","V",47,24,"<1","7.3",1,"1.2",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9","V",47,24,"<1","7.7",1,"1.5",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9","V",2,39,"1.97","11.1",1,"2.4",NA,NA,NA,NA,"G band",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97
2018-06-11,"BH","1.0","9","V",2,39,"1.16","9.4",1,"2.6",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16
2018-06-11,"BH","1.0","9","V",2,39,"1.77","9.3",1,"3.3",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77
2018-06-11,"BH","1.0","9","V",1,26,"2.14","9.0",1,"2.8",NA,NA,NA,NA,"band lower < band of neighbor",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14
2018-06-11,"BH","1.0","9","V",1,26,"<1","1.6",1,"0.4",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2018-06-11,"BH","1.0","9","P",1,28,"5.53","98.0",1,NA,"0.0","22.0",9.4,1,"entering note: can't read note",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53
2018-06-11,"BH","1.0","9","V",1,28,"1.93","6.9",1,"3.4",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93
2018-06-11,"BH","1.0","9","V",1,28,"<1","5.1",1,"1.3",NA,NA,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
