"Census_date","Site","Transect_plot","Quad","Phenology","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Num_total_branches","Longest_leaf_cm","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Notes","Census_year","Year_marked","Entered_by","Date_entered","Collected_by","Tag","2018tag","2019tag","Band","Band_color","Band_num","Pick_color","Sword_color","Canopy_width_cm","Leaf_thickness_mm","Buds","Herbivory","Num_leaves","Category_herbivory","Stem_diam_mm_UFA"
2024-07-25,"CP2","C11",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",906,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"typo? Found 994 but not 884",2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",884,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C14",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",989,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C14",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",890,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C14",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",694,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C14",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",684,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C14",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",660,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C14",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",944,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C14",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",23,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C1D10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plant & Tag NRL",2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"White",137,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C1D10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plant & Tag NRL",2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"White",151,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C1D10",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C1D10",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",406,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C1D10",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",904,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C1D10",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",460,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C1D10",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",37,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C1D10",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",44,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C1D10",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C1D10",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",464,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C1D10",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C1D10",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",889,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C3D8",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",436,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C3D8",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",884,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C4D7",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"White",201,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C5D6",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"White",122,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C5D6",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",949,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C5D6",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C5D6",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C5D6",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",444,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C5D6",NA,"P",NA,NA,"1.94","13.4",1,NA,"7.0","4.0",3,1,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",690,NA,NA,NA,NA,NA,"Y",NA,NA,1.94
2024-07-25,"CP2","C5D6",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",64,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C5D6",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",484,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C5D6",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",440,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-25,"CP2","C5D6",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"Hollis Allen",2024-07-31,NA,NA,NA,NA,NA,"Orange",26,NA,NA,NA,NA,NA,NA,NA,NA,NA
