"Census_date","Site","Transect_plot","Quad","Phenology","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Num_total_branches","Longest_leaf_cm","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Notes","Census_year","Year_marked","Entered_by","Date_entered","Collected_by","Tag","2018tag","2019tag","Band","Band_color","Band_num","Pick_color","Sword_color","Canopy_width_cm","Leaf_thickness_mm","Buds","Herbivory","Num_leaves","Category_herbivory","Stem_diam_mm_UFA"
2017-08-10,"CP2",NA,8,"V",8,51,"<1","2.0",1,"0.5",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",9,49,"<1","1.5",1,"0.8",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",4,46,"<1","0.8",1,"0.3",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",7,47,"<1","0.7",1,"0.2",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",4,45,"<1","2.0",1,"0.5",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",5,45,"<1","1.2",1,"0.4",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",5,44,"<1","1.0",1,"0.3",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",5,43,"<1","2.0",1,"0.5",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",7,44,"<1","1.5",1,"0.4",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",8,44,"<1","0.9",1,"0.3",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",8,42,"<1","0.8",1,"0.4",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",4,36,"<1","1.2",1,"0.3",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",12,36,"<1","2.0",1,"0.5",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",13,31,"<1","1.0",1,"0.3",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",14,31,"<1","0.8",1,"0.1",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",14,33,"<1","1.5",1,"0.8",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",15,32,"<1","2.5",1,"1.1",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",17,46,"<1","1.0",1,"0.5",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",20,45,"<1","2.0",1,"0.8",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",23,46,"~1","3.0",1,"0.9",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",26,48,"<1","2.3",1,"0.4",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2017-08-10,"CP2",NA,8,"V",26.5,48.5,"<1","2.3",1,"0.9",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
