"Date_entered","Entered_by","Census_year","Census_date","Collected_by","Site","Transect_plot","Quad","Tag","2018tag","2019tag","Pick_color","Sword_color","Band","Band_color","Band_num","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Canopy_width_cm","Phenology","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Num_total_branches","Longest_leaf_cm","Herbivory","Category_herbivory","Leaf_thickness_mm","Buds","Year_marked","Num_leaves","Notes","Stem_diam_mm_UFA"
NA,NA,2016,NA,NA,"TM2","lower","0","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nothing",NA
NA,NA,2016,NA,NA,"TM2","lower","0.5","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nothing",NA
NA,NA,2016,NA,NA,"TM2","lower","1","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nothing",NA
NA,NA,2016,NA,NA,"TM2","lower","1.5","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nothing",NA
NA,NA,2016,NA,NA,"TM2","lower","2","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nothing",NA
NA,NA,2016,NA,NA,"TM2","lower","2.5","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nothing",NA
NA,NA,2016,NA,NA,"TM2","lower","3","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nothing",NA
NA,NA,2016,NA,NA,"TM2","lower","3.5","n",NA,NA,NA,NA,NA,NA,NA,50,5,"1.9","30.0",6.4,"F","7.0","4.0",6.5,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.9
NA,NA,2016,NA,NA,"TM2","lower","4","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nothing",NA
NA,NA,2016,NA,NA,"TM2","lower","4.5","n",NA,NA,NA,NA,NA,NA,NA,15,7,"9.24","40.0",59,"F","47.0","91.0",9,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,9.24
NA,NA,2016,NA,NA,"TM2","lower","5","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nothing",NA
NA,NA,2016,NA,NA,"TM2","lower","5.5","n",NA,NA,NA,NA,NA,NA,NA,26,11,"13.1","51.0",35,"P","17.0","64.0",7.4,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,13.1
NA,NA,2016,NA,NA,"TM2","lower","6","n",NA,NA,NA,NA,NA,NA,NA,9,13,"2.5","7.5",1.9,"V",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,2.5
NA,NA,2016,NA,NA,"TM2","lower","6","n",NA,NA,NA,NA,NA,NA,NA,0,0,"7.0","55.0",23,"P","0.0","0.0",0,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,7
NA,NA,2016,NA,NA,"TM2","lower","6","n",NA,NA,NA,NA,NA,NA,NA,37,10,"1.7","14.4",2.6,"P","0.0","2.0",NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,"no data on longest silique",1.7
NA,NA,2016,NA,NA,"TM2","lower","6.5","n",NA,NA,NA,NA,NA,NA,NA,14,14,"2.2","28.5",10,"P","0.0","7.0",6.5,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,2.2
NA,NA,2016,NA,NA,"TM2","lower","6.5","n",NA,NA,NA,NA,NA,NA,NA,39,13.5,"0.99","8.5",1.5,"B",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,"buds are dead",0.5
NA,NA,2016,NA,NA,"TM2","lower","7","n",NA,NA,NA,NA,NA,NA,NA,9,13,"0.86","19.0",4,"P","0.0","2.0",4,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,0.5
NA,NA,2016,NA,NA,"TM2","lower","7","n",NA,NA,NA,NA,NA,NA,NA,29.5,0,"1.34","17.0",0.75,"P","0.0","0.0",0,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.34
NA,NA,2016,NA,NA,"TM2","lower","7","n",NA,NA,NA,NA,NA,NA,NA,35,0,"1.21","16.0",0.75,"P","0.0","0.0",0,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.21
NA,NA,2016,NA,NA,"TM2","lower","7","n",NA,NA,NA,NA,NA,NA,NA,35,18,"1.35","24.5",7.5,"P","0.0","4.0",6,NA,NA,NA,"N",NA,NA,NA,NA,NA,"broken stem",1.35
NA,NA,2016,NA,NA,"TM2","lower","7.5","n",NA,NA,NA,NA,NA,NA,NA,4,16,"1.63","24.5",5,"X","0.0","3.0",5,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,1.63
NA,NA,2016,NA,NA,"TM2","lower","7.5","n",NA,NA,NA,NA,NA,NA,NA,15,12,"0.13","5.0",1,"B",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,0.5
NA,NA,2016,NA,NA,"TM2","lower","7.5","n",NA,NA,NA,NA,NA,NA,NA,16,6.5,"1.03","3.0",1.5,"V",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,1.03
NA,NA,2016,NA,NA,"TM2","lower","8","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"two that look dead from this year",NA
NA,NA,2016,NA,NA,"TM2","lower","8.5","n",NA,NA,NA,NA,NA,NA,NA,5,13,"1.1","1.5",7.9,"B",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,"not going to flower",1.1
NA,NA,2016,NA,NA,"TM2","lower","9","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nothing",NA
NA,NA,2016,NA,NA,"TM2","lower","9.5","n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nothing",NA
NA,NA,2016,NA,NA,"TM2","lower","10","n",NA,NA,NA,NA,NA,NA,NA,45,13,"0.33","3.0",0.5,"V",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,0.5
