"Date_entered","Entered_by","Census_year","Census_date","Collected_by","Site","Transect_plot","Quad","Tag","2018tag","2019tag","Pick_color","Sword_color","Band","Band_color","Band_num","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Canopy_width_cm","Phenology","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Num_total_branches","Longest_leaf_cm","Herbivory","Category_herbivory","Leaf_thickness_mm","Buds","Year_marked","Num_leaves","Notes","Stem_diam_mm_UFA"
2024-06-24,"GAA",2024,2024-05-31,NA,"TM2","upper","0",NA,NA,NA,NA,NA,NA,"red",97,14,7,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-24,"GAA",2024,2024-05-31,NA,"TM2","upper","0",NA,NA,NA,NA,NA,NA,"red",866,10,10,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-24,"GAA",2024,2024-05-31,NA,"TM2","upper","0",NA,NA,NA,NA,NA,NA,"red",101,15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not relocated=NRL",NA
2024-06-24,"GAA",2024,2024-05-31,NA,"TM2","upper","0",NA,NA,NA,NA,NA,NA,"red",292,19,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRL",NA
2024-06-24,"GAA",2024,2024-05-31,NA,"TM2","upper","0",NA,NA,NA,NA,NA,NA,"red",43,23,14,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-24,"GAA",2024,2024-05-31,NA,"TM2","upper","0",NA,NA,NA,NA,NA,NA,"red",203,25,14,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-24,"GAA",2024,2024-05-31,NA,"TM2","upper","0",NA,NA,NA,NA,NA,NA,"red",251,36,1,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-24,"GAA",2024,2024-05-31,NA,"TM2","upper","0",NA,NA,NA,NA,NA,NA,"red",709,44,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRL",NA
2024-06-24,"GAA",2024,2024-05-31,NA,"TM2","upper","0",NA,NA,NA,NA,NA,NA,"red",111,47,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRL",NA
2024-06-24,"GAA",2024,2024-05-31,NA,"TM2","upper","0",NA,NA,NA,NA,NA,NA,"red",572,48,8,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-24,"GAA",2024,2024-05-31,NA,"TM2","upper","1.5",NA,NA,NA,NA,NA,NA,"red",39,13,41,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-24,"GAA",2024,2024-05-31,NA,"TM2","upper","1.5",NA,NA,NA,NA,NA,NA,"red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NRL",NA
