"Census_date","Site","Transect_plot","Quad","Phenology","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Num_total_branches","Longest_leaf_cm","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Notes","Census_year","Year_marked","Entered_by","Date_entered","Collected_by","Tag","2018tag","2019tag","Band","Band_color","Band_num","Pick_color","Sword_color","Canopy_width_cm","Leaf_thickness_mm","Buds","Herbivory","Num_leaves","Category_herbivory","Stem_diam_mm_UFA"
2024-07-08,"WL1","1","7","X",8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"pink",653,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","1","9.5","X",27,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",924,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","0","X",31,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",500,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","0","X",45,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",313,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","0","X",20,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",208,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","0.5","X",35,12,NA,NA,NA,NA,NA,NA,NA,NA,"outside of plot",2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",207,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","0.5","X",49,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",501,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","0.5","X",35,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",504,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","0.5","X",13,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",507,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","0.5","X",11,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",508,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","1","X",3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",516,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","1","X",15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",307,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","1","X",29,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",519,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","1","X",14,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"pink",357,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","1","X",6,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"pink",239,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","1.5","X",26,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",502,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","1.5","X",10,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",201,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","1.5","X",30,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",204,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","1.5","X",45,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",514,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","1.5","P",41,26,"1.56","19.1",1,NA,"0.0","3.0",4.4,1,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"pink",101,NA,NA,NA,NA,NA,"N",NA,NA,1.56
2024-07-08,"WL1","2","2","X",45,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",505,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","2","X",40,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",512,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","2","X",39,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"pink",874,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","2.5","X",56,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",509,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","3","X",27,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","3","X",31,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",24,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","3","X",19,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",47,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","3.0","X",11,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",25,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","3.5","X",15,2,NA,NA,NA,NA,NA,NA,NA,NA,"out of plot",2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",58,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","3.5","X",20,5,NA,NA,NA,NA,NA,NA,NA,NA,"out of plot",2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",64,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","3.5","X",26,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",83,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","3.5","X",35,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",84,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","3.5","X",35,1,NA,NA,NA,NA,NA,NA,NA,NA,"out of plot",2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",71,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-08,"WL1","2","3.5","X",21,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,"GA",2024-07-11,NA,NA,NA,NA,NA,"white",69,NA,NA,NA,NA,NA,NA,NA,NA,NA
