"Census_date","Site","Transect_plot","Quad","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Canopy_width_cm","Num_total_branches","Phenology","Num_flowers","Num_fruits","Longest_fruit_cm","Notes","Band","Band_num","Band_color","Pick_color","Sword_color","Tag","2018tag","2019tag","Buds","Longest_leaf_cm","Herbivory","Category_herbivory","Year_marked","Num_repro_branches","Leaf_thickness_mm","Census_year","Collected_by","Date_entered","Num_leaves","Entered_by","Stem_diam_mm_UFA"
2024-07-23,"WL2","201A","0.0",34,7,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,121,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,2024-07-24,NA,"GA",NA
2024-07-23,"WL2","201A","0.0",40,17,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,106,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,2024-07-24,NA,"GA",NA
2024-07-23,"WL2","201A","0.0",39,12,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,330,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,2024-07-24,NA,"GA",NA
2024-07-23,"WL2","201A","0.0",37,13,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,468,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,2024-07-24,NA,"GA",NA
2024-07-23,"WL2","201A","0.0",22,38,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,664,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,2024-07-24,NA,"GA",NA
2024-07-23,"WL2","201A","0.5",7,15,NA,NA,NA,NA,NA,NA,NA,NA,"band and plant not relocated (NRL)",NA,37,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,2024-07-24,NA,"GA",NA
2024-07-23,"WL2","201A","0.5",40,17,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,138,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,2024-07-24,NA,"GA",NA
2024-07-23,"WL2","201A","1.0",37,15,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,103,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,2024-07-24,NA,"GA",NA
2024-07-23,"WL2","201A","1.0",21,10,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,176,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,2024-07-24,NA,"GA",NA
2024-07-23,"WL2","201A","1.0",19,7,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,668,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,2024-07-24,NA,"GA",NA
2024-07-23,"WL2","201A","1.0",28,15,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,247,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,2024-07-24,NA,"GA",NA
2024-07-23,"WL2","201B","0.0",15,33,NA,NA,NA,NA,NA,NA,NA,NA,"NRL",NA,115,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,2024-07-24,NA,"GA",NA
2024-07-23,"WL2","201B","0.0",50,28,NA,NA,NA,NA,NA,NA,NA,NA,"NRL",NA,107,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,2024-07-24,NA,"GA",NA
