"Census_date","Site","Transect_plot","Quad","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Canopy_width_cm","Num_total_branches","Phenology","Num_flowers","Num_fruits","Longest_fruit_cm","Notes","Band","Band_num","Band_color","Pick_color","Sword_color","Tag","2018tag","2019tag","Buds","Longest_leaf_cm","Herbivory","Category_herbivory","Year_marked","Num_repro_branches","Leaf_thickness_mm","Census_year","Collected_by","Date_entered","Num_leaves","Entered_by","Stem_diam_mm_UFA"
2016-08-04,"WL2","201","135",24,45,"1.97","14.0",14,3,"P","0.0","1.0",2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.97
2016-08-04,"WL2","201","135",48,45,"1.69","5.0",11,3,"F","2.0","3.0",2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.69
2016-08-04,"WL2","201","136",8,21,"2.17","14.0",20,3,"F","3.0","12.0",4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,2.17
2016-08-04,"WL2","201","136",25,24,"0.94","9.0",20,3,"F","2.0","2.0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","136",24,24,"1.27","12.0",15,3,"P","0.0","7.0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.27
2016-08-04,"WL2","201","136",22,44,"1.21","16.0",16,3,"P","0.0","3.0",4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.21
2016-08-04,"WL2","201","137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-04,"WL2","201","138",15,31,"1.13","9.0",15,2,"P","0.0","4.0",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.13
2016-08-04,"WL2","201","139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-04,"WL2","201","140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-04,"WL2","201","141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-04,"WL2","201","142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-04,"WL2","201","143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-04,"WL2","201","144",25,4,"1.14","11.5",15,2,"P","1.0","3.0",4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.14
2016-08-04,"WL2","201","144",49,13,"0.86","8.5",5.5,2,"P","0.0","4.0",3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","145",32,3,"2.69","10.5",15.5,2,"P","0.0","6.0",4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,2.69
2016-08-04,"WL2","201","146",8,14,"1.57","15.0",17,3,"P","0.0","2.0",3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.57
2016-08-04,"WL2","201","146",3,49,"1.38","7.0",6.5,3,"P","0.0","4.0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.38
2016-08-04,"WL2","201","146",2,48,"1.02","4.5",11,1,"P","0.0","1.0",4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.02
2016-08-04,"WL2","201","146",33,11,"1.67","13.5",9.5,3,"F","2.0","3.0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.67
2016-08-04,"WL2","201","146",34,10,"0.88","8.0",4,1,"P","0.0","1.0",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","147",3,15,"1.39","14.0",9,3,"F","5.0","3.0",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.39
2016-08-04,"WL2","201","147",50,44,"1.49","12.5",11,3,"F","1.0","3.0",3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.49
2016-08-04,"WL2","201","148",38,39,"1.93","10.0",13,3,"F","2.0","7.0",2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.93
2016-08-04,"WL2","201","148",41,40,"0.7","2.0",5,2,"F","2.0","0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
