"","Census_date","Site","Transect_plot","Quad","Phenology","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Num_total_branches","Longest_leaf_cm","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Notes","Census_year","Year_marked","Entered_by","Date_entered","Collected_by","Tag","2018tag","2019tag","Band","Band_color","Band_num","Pick_color","Sword_color","Canopy_width_cm","Leaf_thickness_mm","Buds","Herbivory","Num_leaves","Category_herbivory","Stem_diam_mm_UFA"
"1",2017-08-03,"WL3","1","0-0.5","V",3,15,"<1","1.8",1,"0.3",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2",2017-08-03,"WL3","1","0-0.5","F",30,23,"6.75","21.1",6,NA,"22.0","55.0",4.5,6,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.75
"3",2017-08-03,"WL3","1","0.5","V",14,5,"~1","3.4",3,"0.9",NA,NA,NA,0,"(put in protocol) Primary branches from the bottom lvs dry and senescing",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"4",2017-08-03,"WL3","1","0.5","PF",21,32,"<1","4.1",3,"no lvs","0.0","3.0",2.8,3,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"5",2017-08-03,"WL3","1","0.5","F",10,40,"1.6","10.5",3,NA,"1.0","3.0",4.8,3,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6
"6",2017-08-03,"WL3","1","0.5","V",38,41,"<1","1.8",1,"0.4",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"7",2017-08-03,"WL3","1","0.5","V",9,49,"<1","0.8",1,"0.3",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"8",2017-08-03,"WL3","1","1.0","V",4,4,"<1","0.9",1,"0.3",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"9",2017-08-03,"WL3","1","1.0","V",2,11,"<1","2.4",1,"0.6",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"10",2017-08-03,"WL3","1","1.0","V",15,12,"<1","0.9",1,"0.4",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"11",2017-08-03,"WL3","1","1.0","V",44,30,"<1","1.1",1,"0.5",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"12",2017-08-03,"WL3","1","1.5","V",12,5,"<1","1.3",1,"0.3",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"13",2017-08-03,"WL3","1","1.5","V",29,38,"<1","0.9",1,"0.4",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"14",2017-08-03,"WL3","1","1.5","V",39,19,"<1","0.6",1,"0.2",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"15",2017-08-03,"WL3","1","1.5","V",43,20,"<1","0.4",1,"0.2",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"16",2017-08-03,"WL3","1","1.5","V",46,21,"<1","1.4",1,"0.4",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"17",2017-08-03,"WL3","1","1.5","V",40,45,"<1","1.5",1,"0.4",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"18",2017-08-03,"WL3","1","2.0","V",1,21,"<1","0.2",1,"0.2",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"19",2017-08-03,"WL3","1","2.0","V",2,24,"<1","0.7",1,"0.2",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"20",2017-08-03,"WL3","1","2.0","V",6,28,"<1","0.9",1,"0.4",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"21",2017-08-03,"WL3","1","2.0","V",37,45,"<1","1.2",1,"0.8",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"22",2017-08-03,"WL3","1","2.0","V",41,15,"<1","2.3",1,"0.5",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"23",2017-08-03,"WL3","1","2.5","V",10,16,"<1","1.2",1,"0.6",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"24",2017-08-03,"WL3","1","2.5","V",47,35,"<1","1.5",1,"0.4",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"25",2017-08-03,"WL3","1","3.0","F",15,14,"2.98","12.4",3,NA,"11.0","6.0",4.1,3,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98
"26",2017-08-03,"WL3","1","3.0","F",34,4,"1.97","15.4",5,NA,"9.0","3.0",3.4,3,"2 veg branch, 5 buds",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97
"27",2017-08-03,"WL3","1","3.0","V",41,38,"1.49","4.2",6,"1.2",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49
"28",2017-08-03,"WL3","1","3.5","V",36,22,"<1","1.1",1,"0.3",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"29",2017-08-03,"WL3","1","3.5","V",40,22,"<1","0.5",1,"0.2",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"30",2017-08-03,"WL3","1","3.5","V",2,32,"<1","0.7",1,"0.3",NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"31",2017-08-03,"WL3","1","4.0","F",41,42,"2.03","11.9",6,NA,"7.0","2.0",2.9,5,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03
"32",2017-08-03,"WL3","1","4.5","V",5,7,"<1","1.2",1,"0.2",NA,NA,NA,NA,"none",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"33",2017-08-03,"WL3","1","5.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2017-08-03,"WL3","1","5.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2017-08-03,"WL3","1","6.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2017-08-03,"WL3","1","6.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2017-08-03,"WL3","1","7.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2017-08-03,"WL3","1","7.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2017-08-03,"WL3","1","8.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2017-08-03,"WL3","1","8.5","P",30,4,"2.35","20.5",8,NA,"14.0","26.0",5.7,8,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35
"41",2017-08-03,"WL3","1","8.5","F",28,22,"2.75","19.1",9,NA,"10.0","51.0",4.9,9,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75
"42",2017-08-03,"WL3","4","0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2017-08-03,"WL3","4","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2017-08-03,"WL3","4","1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2017-08-03,"WL3","4","1.5","P",19,29,"2.09","15.9",2,NA,"0.0","9.0",5.6,2,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.09
