"Census_date","Site","Transect_plot","Quad","Phenology","Xcoord","Ycoord","Band_num","Pick_color","Sword_color","Stem_diam_mm","Height_cm","Num_total_branches","Longest_leaf_cm","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Herbivory","Notes","Collected_by","Census_year","Date_entered","Entered_by","Band_color","Band","Tag","2018tag","2019tag","Year_marked","Category_herbivory","Leaf_thickness_mm","Canopy_width_cm","Buds","Num_leaves","Stem_diam_mm_UFA"
2019-07-29,"YOSE1","ST","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants","Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-29,"YOSE1","ST","0.5","V",NA,NA,NA,NA,NA,"<1","1.9",1,"0.4",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","ST","1","P",40,6,80,NA,NA,"1.32","20.1",3,NA,"5.0","3.0",6,2,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32
2019-07-29,"YOSE1","ST","1","V",NA,NA,NA,NA,NA,"<1","3.9",2,"0.8",NA,NA,NA,NA,"Y",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","ST","1","V",NA,NA,NA,NA,NA,"<1","1.4",1,"0.4",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","ST","1.5","P",5,12,60,NA,NA,"1.86","26.1",6,NA,"25.0","13.0",6.7,6,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86
2019-07-29,"YOSE1","ST","1.5","P",10,14,55,NA,NA,"2.36","22.1",8,NA,"11.0","12.0",7.4,8,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36
2019-07-29,"YOSE1","ST","1.5","P",13,16,57,NA,NA,"1.27","12.3",5,NA,"2.0","10.0",5.8,5,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27
2019-07-29,"YOSE1","ST","1.5","P",22,37,58,NA,NA,"3.35","25.9",14,NA,"67.0","48.0",7.1,14,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35
2019-07-29,"YOSE1","ST","1.5","V",NA,NA,NA,NA,NA,"<1","2.9",1,"0.5",NA,NA,NA,NA,"Y",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","ST","1.5","V",NA,NA,NA,NA,NA,"<1","3.2",1,"0.7",NA,NA,NA,NA,"Y",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","ST","1.5","V",NA,NA,NA,NA,NA,"<1","2.9",1,"0.4",NA,NA,NA,NA,"Y",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","ST","1.5","V",NA,NA,NA,NA,NA,"<1","4.1",1,"0.8",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","ST","1.5","V",NA,NA,NA,NA,NA,"<1","2.4",1,"0.6",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","ST","1.5","V",NA,NA,NA,NA,NA,"<1","2.6",1,"0.6",NA,NA,NA,NA,"Y",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","ST","1.5","V",NA,NA,NA,NA,NA,"<1","1.0",1,"0.3",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","ST","1.5","V",NA,NA,NA,NA,NA,"<1","3.8",1,"0.6",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
2019-07-29,"YOSE1","ST","1.5","V",NA,NA,NA,NA,NA,"<1","2.6",1,"0.4",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
