"Census_date","Site","Transect_plot","Quad","Phenology","Xcoord","Ycoord","Band_num","Pick_color","Sword_color","Stem_diam_mm","Height_cm","Num_total_branches","Longest_leaf_cm","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Herbivory","Notes","Collected_by","Census_year","Date_entered","Entered_by","Band_color","Band","Tag","2018tag","2019tag","Year_marked","Category_herbivory","Leaf_thickness_mm","Canopy_width_cm","Buds","Num_leaves","Stem_diam_mm_UFA"
2024-07-17,"YOSE1","Y1.1","0","X",25,1,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0","X",8,26,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0","X",8,28,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0","X",37,31,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0","X",24,28,658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0","X",46,24,735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0","X",9,10,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0","X",19,41,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0","X",18,34,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0","X",1,23,889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0","X",12,46,582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0","X",46,50,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0","X",31,2,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0","X",42,11,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0.5","X",12,25,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0.5","X",16,5,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0.5","X",48,43,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0.5","X",28,15,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0.5",NA,18,37,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plant and band not relocated",NA,2024,2024-07-24,"GA","red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-07-17,"YOSE1","Y1.1","0.5","X",40,50,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2024-07-24,"GA","pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
