"Transect_plot","Quad","Phenology","Xcoord","Ycoord","Band_color","Pick_color","Sword_color","Stem_diam_mm","Height_cm","Num_total_branches","Longest_leaf_cm","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Herbivory","Notes","Collected_by","Census_date","Site","Entered_by","Date_entered","Band","Band_num","Tag","2018tag","2019tag","Leaf_thickness_mm","Canopy_width_cm","Buds","Year_marked","Category_herbivory","Num_leaves","Census_year","Stem_diam_mm_UFA"
"2","1","X",10,47,"blue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-16,"YOSE7","Hollis Allen",2024-07-24,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA
"2","1","P",11,38,"pink",NA,NA,"0.99","11.1",1,NA,"2.0","3.0",1.9,1,"data not taken",NA,NA,2024-07-16,"YOSE7","Hollis Allen",2024-07-24,NA,835,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,0.5
"2","2","X",25,14,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-16,"YOSE7","Hollis Allen",2024-07-24,NA,809,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA
"2","2","X",50,15,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-16,"YOSE7","Hollis Allen",2024-07-24,NA,877,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA
"2","2","X",33,25,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-16,"YOSE7","Hollis Allen",2024-07-24,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA
"2","2","X",29,30,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-16,"YOSE7","Hollis Allen",2024-07-24,NA,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA
"2","2","X",40,28,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-16,"YOSE7","Hollis Allen",2024-07-24,NA,876,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA
"2","2","X",26,38,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-16,"YOSE7","Hollis Allen",2024-07-24,NA,452,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA
"2","2",NA,31,40,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plant + band NRL",NA,2024-07-16,"YOSE7","Hollis Allen",2024-07-24,NA,806,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA
"2","2","X",36,42,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-16,"YOSE7","Hollis Allen",2024-07-24,NA,898,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA
"2","2","X",17,36,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-16,"YOSE7","Hollis Allen",2024-07-24,NA,697,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA
"2","2","X",23,46,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-07-16,"YOSE7","Hollis Allen",2024-07-24,NA,777,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA
"2","2.5",NA,23,9,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plant + band NRL",NA,2024-07-16,"YOSE7","Hollis Allen",2024-07-24,NA,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA
