"Transect_plot","Quad","Phenology","Xcoord","Ycoord","Band_color","Pick_color","Sword_color","Stem_diam_mm","Height_cm","Num_total_branches","Longest_leaf_cm","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Herbivory","Notes","Collected_by","Census_date","Site","Census_year","Band","Band_num","Tag","2018tag","2019tag","Category_herbivory","Canopy_width_cm","Leaf_thickness_mm","Year_marked","Buds","Entered_by","Num_leaves","Date_entered","Stem_diam_mm_UFA"
"3","0.5","V",41,39,"orange",NA,NA,"1.12","3.4",2,"0.4",NA,NA,NA,NA,NA,"band #24","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12
"3","0.5","V",49,40,"orange",NA,NA,"1.15","3.6",4,"0.6",NA,NA,NA,NA,NA,"#23","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15
"3","0.5","V",49,46,"orange",NA,NA,"0.85","4.1",3,"0.7",NA,NA,NA,NA,NA,"#21","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"3","1","V",2,35,"orange",NA,NA,"1.05","4.1",3,"1.1",NA,NA,NA,NA,NA,"#6","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05
"3","1","V",3,32,"orange",NA,NA,"1.1","5.2",1,"1.3",NA,NA,NA,NA,NA,"#25","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1
"3","1","V",4,33,"orange",NA,NA,"<1","3.6",1,"1.1",NA,NA,NA,NA,NA,"#36","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"3","1","V",7,5,"orange",NA,NA,"<1","5.6",2,"0.8",NA,NA,NA,NA,NA,"#20","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"3","1","V",45,21,"orange",NA,NA,"<1","2.9",2,"0.9",NA,NA,NA,NA,NA,"#91","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"3","1.5","V",4,9,"orange",NA,NA,"1.07","4.6",3,"0.7",NA,NA,NA,NA,NA,"#2","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07
"3","1.5","V",1,8,"orange",NA,NA,"<1","2.3",2,"0.5",NA,NA,NA,NA,"yes","#50","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"3","1.5","V",6,12,"orange",NA,NA,"<1","3.1",1,"0.7",NA,NA,NA,NA,"no","#41","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"3","1.5","V",22,35,"orange",NA,NA,"<1","4",1,"0.8",NA,NA,NA,NA,"no","#37","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
