date,pop,plot,quadrat,notes,blu_grn.picks,blu_grn.mortality,yellow.picks,yellow.mortality,black.picks,black.mortality,red.picks,red.mortality,orange.picks,orange.mortality,blu_grn.germ,yellow.germ,black.germ,red.germ,orange.germ
12/14/2018,TM2,upper,0,all toothpicks at upper transect are green on this date,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
12/14/2018,TM2,upper,0.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
12/14/2018,TM2,upper,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
12/14/2018,TM2,upper,1.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA
12/14/2018,TM2,upper,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA
12/14/2018,TM2,upper,2.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA
12/14/2018,TM2,upper,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA
12/14/2018,TM2,upper,3.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA
12/14/2018,TM2,upper,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA
12/14/2018,TM2,upper,4.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA
12/14/2018,TM2,upper,5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA
12/14/2018,TM2,upper,5.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA
12/14/2018,TM2,upper,6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,NA
12/14/2018,TM2,upper,6.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA
12/14/2018,TM2,upper,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA
12/14/2018,TM2,upper,7.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA
12/14/2018,TM2,upper,8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA
12/14/2018,TM2,upper,8.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA
12/14/2018,TM2,upper,9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA
12/14/2018,TM2,upper,9.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
12/14/2018,TM2,upper,10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
12/14/2018,TM2,upper,10.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA
12/14/2018,TM2,upper,11,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA
12/14/2018,TM2,upper,11.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
12/14/2018,TM2,upper,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
12/14/2018,TM2,upper,12.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA
12/14/2018,TM2,upper,13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA
