"site","survey_year","transect_plot","quadrat","germ_survey_date","pick_color","number_germ","missing_germs","germ_notes","mort_survey_date","num_dead","mort_notes","days_since_germ","cum_dead","count_check"
"TM2",2020,"lower",0,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",0.5,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",1,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",1.5,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",2,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",2.5,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",3,2020-11-30,"red",0,0,"Plant blue perennated",2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",3.5,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",4,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",4.5,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",5,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",5.5,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",6,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",6.5,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",7,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",7.5,2020-11-30,"red",8,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",8,2020-11-30,"red",5,0,NA,2021-02-26,1,NA,88,1,TRUE
"TM2",2020,"lower",8.5,2020-11-30,"red",3,0,NA,2021-02-26,1,NA,88,1,TRUE
"TM2",2020,"lower",9,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",9.5,2020-11-30,"red",1,0,NA,2021-02-26,1,NA,88,1,TRUE
"TM2",2020,"lower",10,2020-11-30,"red",2,0,NA,2021-02-26,1,"cant find red pick",88,1,TRUE
"TM2",2020,"lower",10.5,2020-11-30,"red",0,0,NA,2021-02-26,0,"perennial in plot",88,0,TRUE
"TM2",2020,"lower",11,2020-11-30,"red",3,0,NA,2021-02-26,2,NA,88,2,TRUE
"TM2",2020,"lower",11.5,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",12,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",12.5,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",13,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",13.5,2020-11-30,"red",0,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",14,2020-11-30,"red",3,0,NA,2021-02-26,0,NA,88,0,TRUE
"TM2",2020,"lower",14.5,2020-11-30,"red",24,0,NA,2021-02-26,8,NA,88,8,TRUE
