"site","survey_year","transect_plot","quadrat","germ_survey_date","pick_color","number_germ","missing_germs","germ_notes","mort_survey_date","num_dead","mort_notes","days_since_germ","cum_dead","count_check"
"WL1",2022,1,0,2022-02-18,"green",6,0,NA,2022-04-01,3,NA,42,3,TRUE
"WL1",2022,1,0,2022-02-18,"green",6,0,NA,2022-04-27,1,NA,68,4,TRUE
"WL1",2022,1,0,2022-02-18,"green",6,0,NA,2022-05-18,0,"0",89,4,TRUE
"WL1",2022,1,0,2022-02-18,"green",6,0,NA,2022-07-01,0,NA,133,4,TRUE
"WL1",2022,1,0.5,2022-02-18,"green",13,0,NA,2022-04-01,1,NA,42,1,TRUE
"WL1",2022,1,0.5,2022-02-18,"green",13,0,NA,2022-04-27,0,"extra green pick - last year?",68,1,TRUE
"WL1",2022,1,0.5,2022-02-18,"green",13,0,NA,2022-05-18,0,"yellow herbiv",89,1,TRUE
"WL1",2022,1,0.5,2022-02-18,"green",13,0,NA,2022-07-01,0,NA,133,1,TRUE
"WL1",2022,1,1,2022-02-18,"green",10,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,1,2022-02-18,"green",10,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,1,2022-02-18,"green",10,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,1,2022-02-18,"green",10,0,NA,2022-07-01,1,NA,133,1,TRUE
"WL1",2022,1,1.5,2022-02-18,"green",11,0,NA,2022-04-01,2,NA,42,2,TRUE
"WL1",2022,1,1.5,2022-02-18,"green",11,0,NA,2022-04-27,0,NA,68,2,TRUE
"WL1",2022,1,1.5,2022-02-18,"green",11,0,NA,2022-05-18,0,"0",89,2,TRUE
"WL1",2022,1,1.5,2022-02-18,"green",11,0,NA,2022-07-01,0,NA,133,2,TRUE
"WL1",2022,1,2,2022-02-18,"green",2,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,2,2022-02-18,"green",2,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,2,2022-02-18,"green",2,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,2,2022-02-18,"green",2,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,1,2.5,2022-02-18,"green",4,0,"purple 13, red 541 dead",2022-04-01,2,NA,42,2,TRUE
"WL1",2022,1,2.5,2022-02-18,"green",4,0,"purple 13, red 541 dead",2022-04-27,0,NA,68,2,TRUE
"WL1",2022,1,2.5,2022-02-18,"green",4,0,"purple 13, red 541 dead",2022-05-18,0,"0",89,2,TRUE
"WL1",2022,1,2.5,2022-02-18,"green",4,0,"purple 13, red 541 dead",2022-07-01,0,"extra green",133,2,TRUE
"WL1",2022,1,3,2022-02-18,"green",8,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,3,2022-02-18,"green",8,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,3,2022-02-18,"green",8,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,3,2022-02-18,"green",8,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,1,3.5,2022-02-18,"green",14,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,3.5,2022-02-18,"green",14,0,NA,2022-04-27,1,NA,68,1,TRUE
"WL1",2022,1,3.5,2022-02-18,"green",14,0,NA,2022-05-18,0,"0",89,1,TRUE
"WL1",2022,1,3.5,2022-02-18,"green",14,0,NA,2022-07-01,2,"disturbance to plot",133,3,TRUE
"WL1",2022,1,4,2022-02-18,"green",6,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,4,2022-02-18,"green",6,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,4,2022-02-18,"green",6,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,4,2022-02-18,"green",6,0,NA,2022-07-01,1,NA,133,1,TRUE
"WL1",2022,1,4.5,2022-02-18,"green",9,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,4.5,2022-02-18,"green",9,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,4.5,2022-02-18,"green",9,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,4.5,2022-02-18,"green",9,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,1,5,2022-02-18,"green",3,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,5,2022-02-18,"green",3,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,5,2022-02-18,"green",3,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,5,2022-02-18,"green",3,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,1,5.5,2022-02-18,"green",16,0,NA,2022-04-01,1,NA,42,1,TRUE
"WL1",2022,1,5.5,2022-02-18,"green",16,0,NA,2022-04-27,0,NA,68,1,TRUE
"WL1",2022,1,5.5,2022-02-18,"green",16,0,NA,2022-05-18,0,"0",89,1,TRUE
"WL1",2022,1,5.5,2022-02-18,"green",16,0,NA,2022-07-01,1,NA,133,2,TRUE
"WL1",2022,1,6,2022-02-18,"green",16,0,NA,2022-04-01,3,NA,42,3,TRUE
"WL1",2022,1,6,2022-02-18,"green",16,0,NA,2022-04-27,2,NA,68,5,TRUE
"WL1",2022,1,6,2022-02-18,"green",16,0,NA,2022-05-18,0,"0",89,5,TRUE
"WL1",2022,1,6,2022-02-18,"green",16,0,NA,2022-07-01,0,NA,133,5,TRUE
"WL1",2022,1,6.5,2022-02-18,"green",16,0,NA,2022-04-01,1,NA,42,1,TRUE
"WL1",2022,1,6.5,2022-02-18,"green",16,0,NA,2022-04-27,0,NA,68,1,TRUE
"WL1",2022,1,6.5,2022-02-18,"green",16,0,NA,2022-05-18,1,"0",89,2,TRUE
"WL1",2022,1,6.5,2022-02-18,"green",16,0,NA,2022-07-01,0,"disturbance to plot",133,2,TRUE
"WL1",2022,1,7,2022-02-18,"green",4,0,"footprint in plote",2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,7,2022-02-18,"green",4,0,"footprint in plote",2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,7,2022-02-18,"green",4,0,"footprint in plote",2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,7,2022-02-18,"green",4,0,"footprint in plote",2022-07-01,0,"disturbance to plot",133,0,TRUE
"WL1",2022,1,7.5,2022-02-18,"green",3,0,"footprint in plot",2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,7.5,2022-02-18,"green",3,0,"footprint in plot",2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,7.5,2022-02-18,"green",3,0,"footprint in plot",2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,7.5,2022-02-18,"green",3,0,"footprint in plot",2022-07-01,1,"disturbance to plot",133,1,TRUE
"WL1",2022,1,8,2022-02-18,"green",24,0,"footprint in plot",2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,8,2022-02-18,"green",24,0,"footprint in plot",2022-04-27,0,"moved extra green",68,0,TRUE
"WL1",2022,1,8,2022-02-18,"green",24,0,"footprint in plot",2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,8,2022-02-18,"green",24,0,"footprint in plot",2022-07-01,6,"disturbance to plot",133,6,TRUE
"WL1",2022,1,8.5,2022-02-18,"green",13,0,NA,2022-04-01,1,NA,42,1,TRUE
"WL1",2022,1,8.5,2022-02-18,"green",13,0,NA,2022-04-27,0,NA,68,1,TRUE
"WL1",2022,1,8.5,2022-02-18,"green",13,0,NA,2022-05-18,0,"0",89,1,TRUE
