"","date_entered","entered_by","survey_year","germ_survey_date","site","transect_plot","quadrat","pick_color","number_germ","germ_notes","missing_germs"
"1",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",0,"red",7,NA,0
"2",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",0.5,"red",8,NA,0
"3",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",1,"red",7,NA,0
"4",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",1.5,"red",4,NA,0
"5",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",2,"red",12,NA,0
"6",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",2.5,"red",0,NA,0
"7",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",3,"red",1,NA,0
"8",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",3.5,"red",3,NA,0
"9",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",4,"red",2,NA,0
"10",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",4.5,"red",6,NA,0
"11",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",5,"red",2,NA,0
"12",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",5.5,"red",1,NA,0
"13",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",6,"red",1,NA,0
"14",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",6.5,"red",0,NA,0
"15",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",7,"red",1,NA,0
"16",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",7.5,"red",0,NA,0
"17",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",8,"red",9,NA,0
"18",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",8.5,"red",18,NA,0
"19",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",9,"red",6,NA,0
"20",2022-07-10,"SRA",2022,2022-06-10,"WL3","1.0",9.5,"red",4,NA,0
"21",2022-07-10,"SRA",2022,2022-06-10,"WL3","2.0",0,"red",48,NA,0
"22",2022-07-10,"SRA",2022,2022-06-10,"WL3","2.0",0.5,"red",22,NA,0
"23",2022-07-10,"SRA",2022,2022-06-10,"WL3","2.0",1,"red",50,NA,0
"24",2022-07-10,"SRA",2022,2022-06-10,"WL3","2.0",1.5,"red",7,NA,0
"25",2022-07-10,"SRA",2022,2022-06-10,"WL3","2.0",2,"red",13,NA,0
"26",2022-07-10,"SRA",2022,2022-06-10,"WL3","2.0",2.5,"red",12,NA,0
"27",2022-07-10,"SRA",2022,2022-06-10,"WL3","2.0",3,"red",3,NA,0
"28",2022-07-10,"SRA",2022,2022-06-10,"WL3","2.0",3.5,"red",1,NA,0
"29",2022-07-10,"SRA",2022,2022-06-10,"WL3","2.0",4,"red",5,NA,0
"30",2022-07-10,"SRA",2022,2022-06-10,"WL3","2.0",4.5,"red",7,NA,0
"31",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",0,"red",10,NA,0
"32",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",0.5,"red",1,NA,0
"33",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",1,"red",1,NA,0
"34",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",1.5,"red",9,NA,0
"35",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",2,"red",3,NA,0
"36",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",2.5,"red",3,NA,0
"37",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",3,"red",0,NA,0
"38",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",3.5,"red",31,NA,0
"39",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",4,"red",4,NA,0
"40",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",4.5,"red",1,NA,0
"41",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",5,"red",4,NA,0
"42",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",5.5,"red",8,NA,0
"43",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",6,"red",9,NA,0
"44",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",6.5,"red",14,NA,0
"45",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",7,"red",7,NA,0
"46",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",7.5,"red",0,NA,0
"47",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",8,"red",8,NA,0
"48",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",8.5,"red",2,NA,0
"49",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",9,"red",1,NA,0
"50",2022-07-10,"SRA",2022,2022-06-10,"WL3","3.0",9.5,"red",1,NA,0
"51",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",0,"red",0,NA,0
"52",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",0.5,"red",0,NA,0
"53",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",1,"red",0,NA,0
"54",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",1.5,"red",1,NA,0
"55",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",2,"red",2,NA,0
"56",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",2.5,"red",2,NA,0
"57",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",3,"red",7,NA,0
"58",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",3.5,"red",2,NA,0
"59",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",4,"red",0,NA,0
"60",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",4.5,"red",1,NA,0
"61",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",5,"red",5,NA,0
"62",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",5.5,"red",12,NA,0
"63",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",6,"red",3,NA,0
"64",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",6.5,"red",1,NA,0
"65",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",7,"red",2,NA,0
"66",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",7.5,"red",7,NA,0
"67",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",8,"red",2,NA,0
"68",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",8.5,"red",1,NA,0
"69",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",9,"red",0,NA,0
"70",2022-07-10,"SRA",2022,2022-06-10,"WL3","4.0",9.5,"red",1,NA,0
"71",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",0,"blue",1,NA,0
"72",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",0.5,"blue",0,NA,0
"73",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",1,"blue",0,NA,0
"74",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",1.5,"blue",0,NA,0
"75",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",2,"blue",0,NA,0
"76",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",2.5,"blue",1,NA,0
"77",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",3,"blue",0,NA,0
"78",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",3.5,"blue",0,NA,0
"79",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",4,"blue",1,NA,0
"80",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",4.5,"blue",0,NA,0
"81",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",5,"blue",1,NA,0
"82",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",5.5,"blue",0,NA,0
"83",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",6,"blue",0,NA,0
"84",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",6.5,"blue",0,NA,0
"85",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",7,"blue",0,NA,0
"86",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",7.5,"blue",0,NA,0
"87",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",8,"blue",0,NA,0
"88",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",8.5,"blue",1,NA,0
"89",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",9,"blue",1,NA,0
"90",2022-07-10,"SRA",2022,2022-06-24,"WL3","1.0",9.5,"blue",0,NA,0
"91",2022-07-10,"SRA",2022,2022-06-24,"WL3","2.0",0,"blue",1,NA,0
"92",2022-07-10,"SRA",2022,2022-06-24,"WL3","2.0",0.5,"blue",2,NA,0
"93",2022-07-10,"SRA",2022,2022-06-24,"WL3","2.0",1,"blue",0,NA,0
"94",2022-07-10,"SRA",2022,2022-06-24,"WL3","2.0",1.5,"blue",0,NA,0
"95",2022-07-10,"SRA",2022,2022-06-24,"WL3","2.0",2,"blue",1,NA,0
"96",2022-07-10,"SRA",2022,2022-06-24,"WL3","2.0",2.5,"blue",1,NA,0
"97",2022-07-10,"SRA",2022,2022-06-24,"WL3","2.0",3,"blue",0,NA,0
"98",2022-07-10,"SRA",2022,2022-06-24,"WL3","2.0",3.5,"blue",0,NA,0
"99",2022-07-10,"SRA",2022,2022-06-24,"WL3","2.0",4,"blue",0,NA,0
"100",2022-07-10,"SRA",2022,2022-06-24,"WL3","2.0",4.5,"blue",1,NA,0
"101",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",0,"blue",3,NA,0
"102",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",0.5,"blue",1,NA,0
"103",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",1,"blue",0,NA,0
"104",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",1.5,"blue",1,NA,0
"105",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",2,"blue",1,NA,0
"106",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",2.5,"blue",0,NA,0
"107",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",3,"blue",0,NA,0
"108",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",3.5,"blue",1,NA,0
"109",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",4,"blue",0,NA,0
"110",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",4.5,"blue",0,NA,0
"111",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",5,"blue",0,NA,0
"112",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",5.5,"blue",1,NA,0
"113",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",6,"blue",1,NA,0
"114",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",6.5,"blue",1,NA,0
"115",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",7,"blue",0,NA,0
"116",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",7.5,"blue",0,NA,0
"117",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",8,"blue",0,NA,0
"118",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",8.5,"blue",0,NA,0
"119",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",9,"blue",0,NA,0
"120",2022-07-10,"SRA",2022,2022-06-24,"WL3","3.0",9.5,"blue",0,NA,0
"121",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",0,"blue",0,NA,0
"122",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",0.5,"blue",0,NA,0
"123",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",1,"blue",0,NA,0
"124",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",1.5,"blue",0,NA,0
"125",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",2,"blue",0,NA,0
"126",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",2.5,"blue",0,NA,0
"127",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",3,"blue",0,NA,0
"128",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",3.5,"blue",0,NA,0
"129",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",4,"blue",0,NA,0
"130",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",4.5,"blue",0,NA,0
"131",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",5,"blue",0,NA,0
"132",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",5.5,"blue",3,NA,0
"133",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",6,"blue",1,NA,0
"134",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",6.5,"blue",0,NA,0
"135",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",7,"blue",0,NA,0
"136",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",7.5,"blue",0,NA,0
"137",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",8,"blue",1,NA,0
"138",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",8.5,"blue",0,NA,0
"139",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",9,"blue",0,NA,0
"140",2022-07-10,"SRA",2022,2022-06-24,"WL3","4.0",9.5,"blue",0,NA,0
"141",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",0,"white",0,NA,0
"142",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",0.5,"white",0,NA,0
"143",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",1,"white",0,NA,0
"144",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",1.5,"white",0,NA,0
"145",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",2,"white",0,NA,0
"146",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",2.5,"white",0,NA,0
"147",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",3,"white",0,NA,0
"148",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",3.5,"white",0,NA,0
"149",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",4,"white",0,NA,0
"150",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",4.5,"white",0,NA,0
"151",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",5,"white",0,NA,0
"152",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",5.5,"white",0,NA,0
"153",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",6,"white",0,NA,0
"154",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",6.5,"white",0,NA,0
"155",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",7,"white",0,NA,0
"156",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",7.5,"white",0,NA,0
"157",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",8,"white",0,NA,0
"158",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",8.5,"white",0,NA,0
"159",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",9,"white",0,NA,0
"160",2022-07-10,"SRA",2022,2022-07-01,"WL3","1.0",9.5,"white",0,NA,0
"161",2022-07-10,"SRA",2022,2022-07-01,"WL3","2.0",0,"white",0,NA,0
"162",2022-07-10,"SRA",2022,2022-07-01,"WL3","2.0",0.5,"white",0,NA,0
"163",2022-07-10,"SRA",2022,2022-07-01,"WL3","2.0",1,"white",2,NA,0
"164",2022-07-10,"SRA",2022,2022-07-01,"WL3","2.0",1.5,"white",0,NA,0
"165",2022-07-10,"SRA",2022,2022-07-01,"WL3","2.0",2,"white",0,NA,0
"166",2022-07-10,"SRA",2022,2022-07-01,"WL3","2.0",2.5,"white",0,NA,0
"167",2022-07-10,"SRA",2022,2022-07-01,"WL3","2.0",3,"white",0,NA,0
"168",2022-07-10,"SRA",2022,2022-07-01,"WL3","2.0",3.5,"white",0,NA,0
"169",2022-07-10,"SRA",2022,2022-07-01,"WL3","2.0",4,"white",0,NA,0
"170",2022-07-10,"SRA",2022,2022-07-01,"WL3","2.0",4.5,"white",0,NA,0
"171",2022-07-10,"SRA",2022,2022-07-01,"WL3","3.0",0,"white",0,NA,0
"172",2022-07-10,"SRA",2022,2022-07-01,"WL3","3.0",0.5,"white",0,NA,0
"173",2022-07-10,"SRA",2022,2022-07-01,"WL3","3.0",1,"white",0,NA,0
"174",2022-07-10,"SRA",2022,2022-07-01,"WL3","3.0",1.5,"white",0,NA,0
"175",2022-07-10,"SRA",2022,2022-07-01,"WL3","3.0",2,"white",0,NA,0
"176",2022-07-10,"SRA",2022,2022-07-01,"WL3","3.0",2.5,"white",0,NA,0
"177",2022-07-10,"SRA",2022,2022-07-01,"WL3","3.0",3,"white",0,NA,0
"178",2022-07-10,"SRA",2022,2022-07-01,"WL3","3.0",3.5,"white",0,NA,0
"179",2022-07-10,"SRA",2022,2022-07-01,"WL3","3.0",4,"white",0,NA,0
"180",2022-07-10,"SRA",2022,2022-07-01,"WL3","3.0",4.5,"white",0,NA,0
