"date_entered","entered_by","survey_year","germ_survey_date","site","transect_plot","quadrat","pick_color","number_germ","germ_notes"
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",0,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",0.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",1,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",1.5,"red",1,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",2,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",2.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",3,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",3.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",4,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",4.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",5.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",6,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",6.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",7,"red",1,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",7.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",8,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",8.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",9,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",9.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",10,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",10.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",11,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",11.5,"red",1,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",12,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",12.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",13,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",13.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",14,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",14.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",15,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",15.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",16,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",16.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",17,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",17.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",18,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",18.5,"red",1,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",19,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","upper",19.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",0,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",0.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",1,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",1.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",2,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",2.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",3,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",3.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",4,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",4.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",5.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",6,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",6.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",7,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",7.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",8,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",8.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",9,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",9.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",10,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",10.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",11,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",11.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",12,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",12.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",13,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",13.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",14,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",14.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",15,"red",1,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",15.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",16,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",16.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",17,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",17.5,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",18,"red",0,NA
2022-10-24,"SRA",2023,2022-10-14,"TM2","lower",18.5,"red",0,NA
